Participant,Test,Features,m_CA,StdDev_CA,,,,,,,,,,
3,1,"['WL', 'WAMP', 'AR1']",0.91851852,0.00740741,,,,,,,,,,
3,2,"['WL', 'WAMP', 'AR1']",0.88123273,0.01908426,,,,,,,,,,
4,1,"['WL', 'WAMP', 'AR1']",0.90925926,0.01515806,,,,,,,,,,
4,2,"['WL', 'WAMP', 'AR1']",0.85740741,0.03489156,,,,,,,,,,
5,1,"['WL', 'WAMP', 'AR1']",0.94615385,0.00942111,,,,,,,,,,
5,2,"['WL', 'WAMP', 'AR1']",0.94259259,0.02119541,,,,,,,,,,
6,1,"['WL', 'WAMP', 'AR1']",0.89259259,0.06208539,,,,,,,,,,
6,2,"['WL', 'WAMP', 'AR1']",0.7962963,0.01111111,,,,,,,,,,
7,1,"['WL', 'WAMP', 'AR1']",0.85740741,0.02119541,,,,,,,,,,
7,2,"['WL', 'WAMP', 'AR1']",0.88333333,0.01515806,,,,,,,,,,
8,1,"['WL', 'WAMP', 'AR1']",0.90555556,0.03025951,,,,,,,,,,
8,2,"['WL', 'WAMP', 'AR1']",0.87222222,0.01515806,,,,,,,,,,
9,1,"['WL', 'WAMP', 'AR1']",0.92025981,0.03598969,,,,,,,,,,
9,2,"['WL', 'WAMP', 'AR1']",0.91639027,0.02978019,,,,,,,,,,
10,1,"['WL', 'WAMP', 'AR1']",0.93879215,0.01207058,,,,,,,,,,
10,2,"['WL', 'WAMP', 'AR1']",0.91448314,0.00845961,,,,,,,,,,
11,1,"['WL', 'WAMP', 'AR1']",0.85644509,0.04742914,,,,,,,,,,
11,2,"['WL', 'WAMP', 'AR1']",0.78432579,0.00842485,,,,,,,,,,
12,1,"['WL', 'WAMP', 'AR1']",0.80147872,0.0316187,,,,,,,,,,
12,2,"['WL', 'WAMP', 'AR1']",0.89848796,0.01558067,,,,,,,,,,
13,1,"['WL', 'WAMP', 'AR1']",0.8326147,0.040657,,,,,,,,,,
13,2,"['WL', 'WAMP', 'AR1']",0.80522388,0.02282157,,,,,,,,,,
14,1,"['WL', 'WAMP', 'AR1']",0.86296296,0.04206599,,,,,,,,,,
14,2,"['WL', 'WAMP', 'AR1']",0.78703704,0.05034177,,,,,,,,,,
15,1,"['WL', 'WAMP', 'AR1']",0.7513267,0.04438461,,,,,,,,,,
15,2,"['WL', 'WAMP', 'AR1']",0.74444444,0.06799096,,,,,,,,,,
16,1,"['WL', 'WAMP', 'AR1']",0.86593422,0.02631414,,,,,,,,,,
16,2,"['WL', 'WAMP', 'AR1']",0.8358209,0.00913989,,,,,,,,,,
17,1,"['WL', 'WAMP', 'AR1']",0.75,0.02980274,,,,,,,,,,
17,2,"['WL', 'WAMP', 'AR1']",0.71241017,0.0520582,,,,,,,,,,
18,1,"['WL', 'WAMP', 'AR1']",0.76851852,0.02477609,,,,,,,,,,
18,2,"['WL', 'WAMP', 'AR1']",0.78296594,0.03733197,,,,,,,,,,
19,1,"['WL', 'WAMP', 'AR1']",0.92962963,0.0122838,,,,,,,,,,
19,2,"['WL', 'WAMP', 'AR1']",0.89259259,0.02252875,,,,,,,,
1,1,"['RMS', 'WL', 'WAMP', 'AR1']",0.877777778,0.03937091,,,,,,,,,,
1,2,"['RMS', 'WL', 'WAMP', 'AR1']",0.964814815,0.014224344,,,,,,,,,,
2,1,"['RMS', 'WL', 'WAMP', 'AR1']",0.831094527,0.041404819,,,,,,,,,,
2,2,"['RMS', 'WL', 'WAMP', 'AR1']",0.853703704,0.008072035,,,,,,,,,,
